date,hydro_unit 34
1/1/2019,280.624
2/1/2019,287.6926
3/1/2109,553.0163
4/1/2019,713.2994
5/1/2019,517.5895
6/1/2019,445.6141
7/1/2019,384.3767
8/1/2019,351.7951
9/1/2019,333.422
10/1/2019,346.7539
11/1/2019,287.295
12/1/2019,291.5213
